rank,gameName,tagLine,tier,leaguePoints,plays,wins,tops,winRate,top4Rate,rankDiff
II,Petrichor,4656,EMERALD,35,118,11,70,9.3,59.3,-5
II,Saki,LIVE,EMERALD,35,88,17,52,19.3,59.1,-874
II,珠乃井Na,20764,EMERALD,35,258,40,131,15.5,50.8,-875
II,One by One,10969,EMERALD,35,137,22,71,16.1,51.8,-876
II,Shikozaru0815,JP1,EMERALD,34,80,14,45,17.5,56.2,-7
II,KobaKeba,KPA,EMERALD,34,65,11,38,16.9,58.5,-878
II,8ri7n,0430,EMERALD,34,114,19,59,16.7,51.8,-8
II,kpkp7979,JP1,EMERALD,34,155,17,89,11.0,57.4,-8
II,Qoolox,JP1,EMERALD,33,184,20,98,10.9,53.3,-8
II,Lynx999,JP1,EMERALD,33,61,10,38,16.4,62.3,-8
II,ntn,8th,EMERALD,33,108,14,63,13.0,58.3,-8
II,BIG REITA STAR,3501,EMERALD,33,201,18,109,9.0,54.2,-8
II,custard,6160,EMERALD,33,177,21,94,11.9,53.1,-6
II,mizuki,78934,EMERALD,33,250,23,130,9.2,52.0,-6
II,KMJ,JP1,EMERALD,32,58,16,35,27.6,60.3,-6
II,Hellscythe,JP1,EMERALD,32,100,19,54,19.0,54.0,-888
II,Chise,2772,EMERALD,32,112,12,63,10.7,56.2,-889
II,選ばれたもやし,JP1,EMERALD,32,114,20,59,17.5,51.8,-8
II,HaRu,abc,EMERALD,32,76,11,49,14.5,64.5,-8
II,pppaseri,3639,EMERALD,32,179,23,99,12.8,55.3,-8
II,DORAMAT,1081,EMERALD,32,136,13,70,9.6,51.5,-8
II,ほのせふぁいや,kiki,EMERALD,32,148,31,81,20.9,54.7,-8
II,TFMT1OTTO,JP1,EMERALD,31,219,36,119,16.4,54.3,-8
II,tyoten,1129,EMERALD,31,118,17,66,14.4,55.9,-8
II,ぢゅふお,JP1,EMERALD,31,129,14,70,10.9,54.3,-8
II,etymo,JP1,EMERALD,31,177,11,97,6.2,54.8,-8
II,talk box,0202,EMERALD,31,55,14,35,25.5,63.6,-8
II,yzyzy,917,EMERALD,31,120,17,63,14.2,52.5,-8
II,dashicha,JP1,EMERALD,30,86,9,50,10.5,58.1,-7
II,九連宝燈,1199,EMERALD,30,191,25,101,13.1,52.9,-7
II,九条昴,JP1,EMERALD,30,128,13,68,10.2,53.1,-7
II,Stark,らいふる,EMERALD,30,129,29,68,22.5,52.7,-7
II,India,JP1,EMERALD,29,70,13,41,18.6,58.6,-6
II,skinni,7457,EMERALD,29,70,12,43,17.1,61.4,-6
II,babuchan,0000,EMERALD,29,326,33,163,10.1,50.0,80
II,kanenene,Teemo,EMERALD,29,115,14,61,12.2,53.0,-7
II,UMA,0520,EMERALD,29,169,19,92,11.2,54.4,-7
II,だいこん,2206,EMERALD,29,79,10,49,12.7,62.0,-7
II,mikologic,6526,EMERALD,29,69,10,43,14.5,62.3,-7
II,tojikoOo,JP1,EMERALD,28,95,16,53,16.8,55.8,-297
II,HAUHAU,はうはう,EMERALD,28,93,17,52,18.3,55.9,-8
II,내 최애 가시춘,yadon,EMERALD,28,75,13,47,17.3,62.7,-8
II,namine,Emem,EMERALD,28,224,37,116,16.5,51.8,-8
II,すばらしいYMSK,4649,EMERALD,28,100,15,56,15.0,56.0,-8
II,Yozzzz,JP1,EMERALD,28,92,8,55,8.7,59.8,-8
II,sizyukumo,6352,EMERALD,28,58,12,38,20.7,65.5,-8
II,2slgbtqqia,北方領土,EMERALD,28,122,14,68,11.5,55.7,-156
II,あとりえまるめろでぃ,9395,EMERALD,28,102,17,60,16.7,58.8,-146
II,しゅりー,8161,EMERALD,28,107,16,59,15.0,55.1,-921
II,Kuina,7313,EMERALD,28,104,17,57,16.3,54.8,-11
II,ヤコタ,13531,EMERALD,28,109,17,60,15.6,55.0,-11
II,setu,nyaa,EMERALD,27,225,19,114,8.4,50.7,-10
II,omusubix,6149,EMERALD,27,119,11,63,9.2,52.9,-10
II,nenene,3695,EMERALD,27,189,28,95,14.8,50.3,-10
II,bigsosou,7705,EMERALD,27,59,11,40,18.6,67.8,-10
II,RyoRyoRyo,Ryo,EMERALD,27,179,16,100,8.9,55.9,-10
II,39wata3510,JP1,EMERALD,27,85,11,52,12.9,61.2,-10
II,octoo,1412,EMERALD,26,146,15,81,10.3,55.5,-10
II,りるら,JP1,EMERALD,26,77,16,43,20.8,55.8,-10
II,ポメラニアン帝国,JP1,EMERALD,26,60,10,37,16.7,61.7,-10
II,みにしげさん,0713,EMERALD,26,114,18,62,15.8,54.4,-10
II,seaweed,neotp,EMERALD,26,147,15,79,10.2,53.7,-10
II,kzy,1392,EMERALD,26,158,22,78,13.9,49.4,-9
II,バイキンマン,9125,EMERALD,26,123,21,68,17.1,55.3,-9
II,riku,0203,EMERALD,26,157,13,85,8.3,54.1,-937
II,ないとめあ,0116,EMERALD,26,260,40,130,15.4,50.0,-10
II,Haru,04032,EMERALD,26,264,12,145,4.5,54.9,-10
II,cyc,cycyc,EMERALD,26,117,25,64,21.4,54.7,-10
II,ﾁｿﾀﾏの妖精,超でかい,EMERALD,25,99,20,59,20.2,59.6,-10
II,よーぐると53,JP1,EMERALD,25,63,10,36,15.9,57.1,-10
II,Lelouch,冥府一千,EMERALD,25,143,32,77,22.4,53.8,-10
II,Alu9,4066,EMERALD,25,87,15,49,17.2,56.3,-10
II,ぐりん,ぐりん,EMERALD,25,69,8,41,11.6,59.4,-945
II,mob9ta,kyuta,EMERALD,25,94,17,51,18.1,54.3,-11
II,SH1N0N,963,EMERALD,25,123,20,70,16.3,56.9,-11
II,フウライ,JP1,EMERALD,24,137,15,75,10.9,54.7,-10
II,Blade,7552,EMERALD,24,86,9,52,10.5,60.5,-10
II,萩原星人,くじら,EMERALD,24,140,26,75,18.6,53.6,-10
II,Dark Dream,0008,EMERALD,24,115,16,62,13.9,53.9,-160
II,かにかぴ,JP1,EMERALD,24,77,10,48,13.0,62.3,-11
II,チヲハウハネ,1231,EMERALD,24,67,8,44,11.9,65.7,-11
II,yuuu,5116,EMERALD,24,97,17,56,17.5,57.7,-11
II,fiうおw,faaaa,EMERALD,24,233,29,123,12.4,52.8,-955
II,AlexPereira,7197,EMERALD,24,144,14,74,9.7,51.4,-12
II,ハリソン田中,5852,EMERALD,24,80,8,47,10.0,58.8,-12
II,Merry Christmas,OwO,EMERALD,24,140,24,80,17.1,57.1,-12
II,toguri,JP1,EMERALD,23,112,7,67,6.2,59.8,-12
II,bad guy,JP1,EMERALD,23,158,25,85,15.8,53.8,-12
II,LuckyStar,JP1,EMERALD,23,115,13,64,11.3,55.7,-961
II,SKRYU太,すただ,EMERALD,23,249,38,128,15.3,51.4,-962
II,corgi07,o3o,EMERALD,23,111,13,62,11.7,55.9,-14
II,Addfa,JP1,EMERALD,23,54,16,33,29.6,61.1,-14
II,Rama,Lee,EMERALD,23,70,10,41,14.3,58.6,-14
II,urufu,7517,EMERALD,23,49,11,34,22.4,69.4,-14
II,ｍｍ置きのミリオ,3110,EMERALD,23,118,13,64,11.0,54.2,-89
II,qwaszx210JP,210,EMERALD,23,234,33,125,14.1,53.4,-15
II,mibuchi,1234,EMERALD,23,151,23,79,15.2,52.3,-15
II,ENAPAPA,JP1,EMERALD,22,71,13,44,18.3,62.0,-15
II,枯れる,JP1,EMERALD,22,127,22,65,17.3,51.2,-14
II,zakino,6918,EMERALD,22,70,11,45,15.7,64.3,-14
II,Poormaaaan,JP1,EMERALD,22,92,9,51,9.8,55.4,-973
II,syamo,2349,EMERALD,22,89,9,50,10.1,56.2,-15
II,藪睨 空腹,全死大戦,EMERALD,22,94,15,56,16.0,59.6,-15
II,ジェット,てんぷら,EMERALD,22,72,14,41,19.4,56.9,-14
II,kanmi,310,EMERALD,22,124,19,68,15.3,54.8,-14
II,とくもり,JP1,EMERALD,22,86,17,47,19.8,54.7,-14
II,Canas22,JP1,EMERALD,21,66,15,41,22.7,62.1,-14
II,saki,pai,EMERALD,21,154,25,74,16.2,48.1,-14
II,かのえん,JP1,EMERALD,21,107,13,64,12.1,59.8,-13
II,yuyuyu,JP1,EMERALD,21,58,12,37,20.7,63.8,-13
II,gumin1,JP1,EMERALD,21,191,22,101,11.5,52.9,-13
II,Ru4ly,5391,EMERALD,21,96,14,55,14.6,57.3,-13
II,ゴリ一郎,2687,EMERALD,21,141,25,72,17.7,51.1,-985
II,ロッキー松尾,rooki,EMERALD,21,84,13,49,15.5,58.3,-14
II,ぷろもさぷれいやー,本物です,EMERALD,21,128,25,69,19.5,53.9,-14
II,Defectus,Def,EMERALD,21,95,13,52,13.7,54.7,-14
II,makinyan,drz,EMERALD,21,92,18,57,19.6,62.0,-14
II,ゴリラマン1,golli,EMERALD,21,139,14,71,10.1,51.1,-14
II,ましそん,7337,EMERALD,21,203,27,112,13.3,55.2,-14
II,Shida,64702,EMERALD,21,110,14,60,12.7,54.5,-14
II,ai2j0,121,EMERALD,21,286,31,143,10.8,50.0,-993
II,Laika,JP1,EMERALD,20,185,23,94,12.4,50.8,-994
II,Notenoten,JP1,EMERALD,20,162,34,83,21.0,51.2,-102
II,CoLakora,JP1,EMERALD,20,250,31,130,12.4,52.0,-17
II,たまご欠けごはん,tkg,EMERALD,20,181,27,101,14.9,55.8,-17
II,suzaku311,JP1,EMERALD,20,94,19,50,20.2,53.2,-17
II,Roh,JiSUN,EMERALD,20,125,16,73,12.8,58.4,-16
