rank,gameName,tagLine,tier,leaguePoints,plays,wins,tops,winRate,top4Rate
1186,うさぎ隊長,SKMT,DIAMOND,0,143,19,78,13.3,54.5
1187,Speed of Light,0524,DIAMOND,0,88,13,53,14.8,60.2
1188,NOW EMPiRE,ADHD,DIAMOND,0,206,31,100,15.0,48.5
1189,high spec dryer,fdr,DIAMOND,0,114,20,62,17.5,54.4
1190,tetu,8023,DIAMOND,0,114,25,60,21.9,52.6
1191,zelu5toma,JP1,DIAMOND,0,162,16,86,9.9,53.1
1192,Witchcraft,xdd,DIAMOND,0,189,23,104,12.2,55.0
1193,tak,4276,DIAMOND,0,98,22,52,22.4,53.1
1194,gasya,9044,DIAMOND,0,132,18,67,13.6,50.8
1195,Mermaid Wakana,ngt,DIAMOND,0,85,4,60,4.7,70.6
1196,meLIE,River,DIAMOND,0,189,37,95,19.6,50.3
1197,ZONBee,0066,DIAMOND,0,85,12,52,14.1,61.2
1198,Novan,6897,DIAMOND,0,67,17,39,25.4,58.2
1199,ぺろぺれ,4635,DIAMOND,0,182,27,90,14.8,49.5
1200,あらむぼっと,JP1,DIAMOND,0,87,23,58,26.4,66.7
1201,本当にごめんなさい,9809,DIAMOND,0,283,36,135,12.7,47.7
1202,TITANIUM,5684,DIAMOND,0,125,17,67,13.6,53.6
1203,Rarakko,0214,DIAMOND,0,134,24,77,17.9,57.5
1204,rinona,JP1,DIAMOND,0,106,21,55,19.8,51.9
1205,ポポナ,PSO2,DIAMOND,0,169,29,86,17.2,50.9
1206,神ゴッドdeuS,0000,DIAMOND,0,111,18,65,16.2,58.6
1207,kawaiikuma3,2385,DIAMOND,0,139,22,76,15.8,54.7
1208,NaToS,3703,DIAMOND,0,83,19,48,22.9,57.8
1209,上路正义天使,Dami,DIAMOND,0,295,38,150,12.9,50.8
1210,Merry309,8823,DIAMOND,0,247,23,125,9.3,50.6
1211,Jia37,0429,DIAMOND,0,86,18,46,20.9,53.5
1212,べんす,TFT,DIAMOND,0,71,16,40,22.5,56.3
1213,nxyANDhzy丶丶,JP1,DIAMOND,0,161,21,89,13.0,55.3
1214,おきんたまデカお,2424,DIAMOND,0,111,23,62,20.7,55.9
1215,Nine,7923,DIAMOND,0,84,13,53,15.5,63.1
1216,owata,4767,DIAMOND,0,134,27,78,20.1,58.2
1217,V3171,3171,DIAMOND,0,219,35,109,16.0,49.8
1218,chronocross,1462,DIAMOND,0,373,57,174,15.3,46.6
1219,ミトコンドリア4G,細胞の力,DIAMOND,0,172,34,89,19.8,51.7
1220,akusyounin,JP1,DIAMOND,0,141,30,70,21.3,49.6
1221,えくれあ,Gwen,DIAMOND,0,149,22,80,14.8,53.7
1222,ureachang,7721,DIAMOND,0,245,35,120,14.3,49.0
1223,hinamizawasanw,7822,DIAMOND,0,168,39,89,23.2,53.0
1224,iNoriNN,2159,DIAMOND,0,216,23,116,10.6,53.7
1225,かんだむ,drums,DIAMOND,0,175,26,93,14.9,53.1
1226,ねコらない,JP1,DIAMOND,0,132,14,73,10.6,55.3
1227,settaThori,JP1,DIAMOND,0,360,24,185,6.7,51.4
1228,春が夏を待つ,JP886,DIAMOND,0,168,23,85,13.7,50.6
1229,SIVIRization,7606,DIAMOND,0,193,38,92,19.7,47.7
1230,にゃま,ruma,DIAMOND,0,155,27,88,17.4,56.8
1231,Sn0w,1118,DIAMOND,0,214,23,112,10.7,52.3
1232,yqmqmo,2586,DIAMOND,0,107,23,61,21.5,57.0
1233,shiroaki,4600,DIAMOND,0,63,16,36,25.4,57.1
1234,Hopes and Dreams,sss,DIAMOND,0,104,21,57,20.2,54.8
1235,shinichi,7997,DIAMOND,0,177,29,88,16.4,49.7
1236,Azure,0713,DIAMOND,0,97,14,51,14.4,52.6
1237,次回もぜってぇ見てくレオナ,Z戦士,DIAMOND,0,191,22,105,11.5,55.0
1238,chikaramizu1234,1350,DIAMOND,0,146,19,81,13.0,55.5
1239,nemuru1220,JP1,DIAMOND,0,162,18,89,11.1,54.9
1240,Natsy,rein,DIAMOND,0,83,17,48,20.5,57.8
1241,いのざっく,TFT,DIAMOND,0,211,21,110,10.0,52.1
1242,JOK3R,7991,DIAMOND,0,51,12,38,23.5,74.5
1243,BlackMidi,jeans,DIAMOND,0,152,19,82,12.5,53.9
1244,c4nar1a,7771,DIAMOND,0,122,17,66,13.9,54.1
1245,だらく,5040,DIAMOND,0,136,15,77,11.0,56.6
1246,せいすい太郎,6262,DIAMOND,0,113,18,69,15.9,61.1
1247,NEDO,lul,DIAMOND,0,163,23,84,14.1,51.5
1248,マシュマオヤミー,cat,DIAMOND,0,248,30,121,12.1,48.8
1249,横滨教父,0101,DIAMOND,0,125,24,68,19.2,54.4
1250,Dora0dora,krm,DIAMOND,0,175,27,84,15.4,48.0
1251,闇のコヤンスカヤ大好きちゃんねる,nyal,DIAMOND,0,153,14,89,9.2,58.2
1252,umasou,6528,DIAMOND,0,111,22,63,19.8,56.8
1253,mitora,3352,DIAMOND,0,226,35,118,15.5,52.2
1254,擬宝珠夏春都,2401,DIAMOND,0,99,12,57,12.1,57.6
1255,田中角栄,7856,DIAMOND,0,187,32,90,17.1,48.1
1256,Naoya,928,DIAMOND,0,119,22,66,18.5,55.5
1257,ドラゴンシャイン,ryuu,DIAMOND,0,152,17,81,11.2,53.3
1258,ふくだたいが,ふくちゃん,DIAMOND,0,124,26,63,21.0,50.8
1259,Shishikoma,831,DIAMOND,0,140,17,75,12.1,53.6
1260,yasumiru,3917,DIAMOND,0,136,21,75,15.4,55.1
1261,8ko,シママ,DIAMOND,0,141,20,71,14.2,50.4
1262,LuA9,JP2,DIAMOND,0,129,17,71,13.2,55.0
1263,Only U,みょん,DIAMOND,0,288,43,148,14.9,51.4
1264,しべる,0910,DIAMOND,0,138,16,75,11.6,54.3
1265,kenken,green,DIAMOND,0,184,20,96,10.9,52.2
1266,湿ったねこ,2525,DIAMOND,0,215,33,117,15.3,54.4
1267,NEATNEET,210,DIAMOND,0,195,36,102,18.5,52.3
1268,boll11,JP1,DIAMOND,0,252,38,130,15.1,51.6
1269,Skiller,0402,DIAMOND,0,132,19,72,14.4,54.5
1270,うまトマハンバーグ,8456,DIAMOND,0,151,29,78,19.2,51.7
1271,PETO,0722,DIAMOND,0,333,53,155,15.9,46.5
1272,000Daisy000,JP1,DIAMOND,0,307,43,155,14.0,50.5
1273,リアルギャンブラーもみじ,2112,DIAMOND,0,167,22,86,13.2,51.5
