rank,gameName,tagLine,tier,leaguePoints,plays,wins,tops,winRate,top4Rate,rankDiff
III,DrunkenPanda11,NA1,DIAMOND,99,119,27,66,22.7,55.5,-4
III,Gtime,9842,DIAMOND,99,309,45,167,14.6,54.0,-4
III,Jhinxse,8617,DIAMOND,98,122,21,71,17.2,58.2,-4
III,MFsupponly,NA1,DIAMOND,98,74,21,48,28.4,64.9,-4
III,GoodbyeToSleeep,NA1,DIAMOND,97,159,24,86,15.1,54.1,-4
III,Xbmots,111,DIAMOND,96,81,21,49,25.9,60.5,-4
III,Thedotking,NA1,DIAMOND,96,99,18,58,18.2,58.6,-4
III,Jellers,NA1,DIAMOND,95,89,15,52,16.9,58.4,-4
III,czk,BlkKr,DIAMOND,94,119,23,65,19.3,54.6,-4
III,wearyday,NA1,DIAMOND,94,87,17,54,19.5,62.1,30
III,Kram,zzz,DIAMOND,93,77,17,47,22.1,61.0,-5
III,magicsami,NA1,DIAMOND,93,158,25,86,15.8,54.4,-5
III,jue,NA11,DIAMOND,93,61,17,43,27.9,70.5,-5
III,FIoofyDragon,NA1,DIAMOND,93,156,17,93,10.9,59.6,-5
III,Yodacamm,NA1,DIAMOND,92,186,22,105,11.8,56.5,-5
III,goodluckboi,NA1,DIAMOND,92,189,22,105,11.6,55.6,-5
III,AAortAA33,NA1,DIAMOND,92,145,22,76,15.2,52.4,-5
III,Kwon Bingsu,NA1,DIAMOND,91,175,18,101,10.3,57.7,-5
III,Andu Win,NA1,DIAMOND,91,136,23,74,16.9,54.4,-5
III,Fel,9137,DIAMOND,91,91,22,54,24.2,59.3,-5
III,Quix,fLc,DIAMOND,90,174,22,98,12.6,56.3,-4
III,Fluffhead,Iks,DIAMOND,90,91,15,56,16.5,61.5,-4
III,marker8296,2207,DIAMOND,90,94,18,51,19.1,54.3,-4
III,PensivePineapple,NA1,DIAMOND,89,172,26,92,15.1,53.5,-4
III,Akoya,TFT,DIAMOND,88,135,19,78,14.1,57.8,-4
III,Guizhong,232,DIAMOND,88,130,24,71,18.5,54.6,-4
III,Gnatboy,glorp,DIAMOND,88,75,11,50,14.7,66.7,-4
III,Goah,NA12,DIAMOND,88,79,20,46,25.3,58.2,-4
III,sξχ,sξχ,DIAMOND,88,81,16,51,19.8,63.0,-4
III,Miraclewhips,NA1,DIAMOND,87,192,33,106,17.2,55.2,-4
III,钢牙鲨,干就完了,DIAMOND,87,131,31,71,23.7,54.2,-4
III,cw1mson,TFT,DIAMOND,87,88,19,54,21.6,61.4,-4
III,See You Friday,NA1,DIAMOND,87,77,17,46,22.1,59.7,-4
III,Joseph Teamfight,TACTX,DIAMOND,86,126,18,68,14.3,54.0,-4
III,xJoyless,NA1,DIAMOND,86,252,28,135,11.1,53.6,-4
III,KimSeJ,NA1,DIAMOND,86,135,23,79,17.0,58.5,-4
III,AutumnLeaffs,NA1,DIAMOND,85,125,19,71,15.2,56.8,-4
III,beo,tch,DIAMOND,85,142,14,84,9.9,59.2,-4
III,Shack,1234,DIAMOND,85,97,22,62,22.7,63.9,-4
III,Aretsu,NA1,DIAMOND,84,221,33,117,14.9,52.9,-4
III,Champchampx3,NA1,DIAMOND,84,143,16,87,11.2,60.8,-4
III,wonnered,ellie,DIAMOND,84,88,13,56,14.8,63.6,-4
III,dedeedee,237,DIAMOND,84,153,26,83,17.0,54.2,-4
III,sovreign,525,DIAMOND,84,253,31,137,12.3,54.2,-3
III,小朵朵,渐入佳境,DIAMOND,84,74,21,42,28.4,56.8,-3
III,Polish k3soju,xdd,DIAMOND,84,66,18,47,27.3,71.2,-3
III,PlayerIsVeryEpic,0000,DIAMOND,84,137,23,75,16.8,54.7,-3
III,Valor33,NA1,DIAMOND,83,142,25,80,17.6,56.3,-3
III,terenceNA,zfz,DIAMOND,83,105,23,61,21.9,58.1,-3
III,KryptoKit,NA1,DIAMOND,82,285,31,145,10.9,50.9,-3
III,Somberly,king,DIAMOND,82,56,13,40,23.2,71.4,-3
III,360OOGAABOOGAA,NA1,DIAMOND,82,113,28,61,24.8,54.0,-3
III,cryt,brady,DIAMOND,82,103,20,57,19.4,55.3,-3
III,Azumo,NA1,DIAMOND,81,204,17,122,8.3,59.8,-2
III,Derique,NA1,DIAMOND,81,98,20,59,20.4,60.2,76
III,samanthaaa x3,NA1,DIAMOND,81,181,32,99,17.7,54.7,-3
III,The Duke of Aηus,6969,DIAMOND,80,87,16,50,18.4,57.5,-2
III,Darthnater,NA1,DIAMOND,79,50,10,40,20.0,80.0,-2
III,TFT GG bond,1998,DIAMOND,79,90,20,51,22.2,56.7,-2
III,my xp bar is low,lmao1,DIAMOND,79,218,22,117,10.1,53.7,-2
III,free region na,NA1,DIAMOND,79,219,36,112,16.4,51.1,-2
III,twochangz6,NA1,DIAMOND,79,96,13,55,13.5,57.3,-2
III,KryptonGold,KRG,DIAMOND,79,176,28,89,15.9,50.6,-2
III,Mikana,QC42,DIAMOND,78,218,39,119,17.9,54.6,-2
III,KaZaRooN,NA1,DIAMOND,78,230,42,120,18.3,52.2,-2
III,0xa0f1ae1a,decaf,DIAMOND,78,140,14,80,10.0,57.1,-2
III,soobert,7777,DIAMOND,77,206,21,111,10.2,53.9,-2
III,Flightzy,bot,DIAMOND,77,102,14,60,13.7,58.8,274
III,lytingOvO,2001,DIAMOND,77,123,19,69,15.4,56.1,118
III,Emzeeshady,NA1,DIAMOND,76,51,12,39,23.5,76.5,-4
III,hi im daosui,NA1,DIAMOND,76,117,20,68,17.1,58.1,-4
III,Uarehuge2,200,DIAMOND,76,252,32,127,12.7,50.4,-4
III,Sam,MWA,DIAMOND,75,86,9,56,10.5,65.1,-4
III,Nut n Go,NA1,DIAMOND,75,215,27,112,12.6,52.1,-4
III,Penguina,NA1,DIAMOND,75,101,18,62,17.8,61.4,-4
III,Pick1ejar,NA2,DIAMOND,75,133,26,70,19.5,52.6,-4
III,zzkds,NA1,DIAMOND,75,188,41,96,21.8,51.1,-4
III,I Love Kuri,NA1,DIAMOND,75,180,11,100,6.1,55.6,-4
III,Dinger,0411,DIAMOND,75,91,18,56,19.8,61.5,-4
III,icarus 407,VGS47,DIAMOND,75,247,28,134,11.3,54.3,-4
III,Wingstop,NA1,DIAMOND,75,68,18,45,26.5,66.2,-4
III,kilo9,SKC,DIAMOND,75,152,27,84,17.8,55.3,-4
III,Skippy and Jelly,NA1,DIAMOND,75,171,18,97,10.5,56.7,-3
III,ManBearPig1212,NA1,DIAMOND,75,154,23,91,14.9,59.1,-3
III,jannaplayer202,yum,DIAMOND,75,221,48,115,21.7,52.0,-3
III,Kyivix,NA1,DIAMOND,75,90,15,53,16.7,58.9,-3
III,Joe Bookmark,PMD1,DIAMOND,75,90,17,53,18.9,58.9,-2
III,CowBanger,NA1,DIAMOND,75,99,19,54,19.2,54.5,-2
III,JadenThomasWaren,2002,DIAMOND,75,143,18,83,12.6,58.0,-2
III,iiiiiStutter,8706,DIAMOND,75,76,16,46,21.1,60.5,-2
III,Rank 1 baby,NA1,DIAMOND,75,151,21,81,13.9,53.6,-2
III,cawluhn,91709,DIAMOND,75,147,25,77,17.0,52.4,-2
III,Crml Crnch Frap,L4EG,DIAMOND,75,141,22,83,15.6,58.9,-2
III,GBadvance,NA1,DIAMOND,75,192,29,102,15.1,53.1,-2
III,Buddy,w00f,DIAMOND,75,163,20,92,12.3,56.4,-2
III,ellslee,NA1,DIAMOND,75,189,23,102,12.2,54.0,-2
III,betternerfireIia,NA1,DIAMOND,75,159,28,86,17.6,54.1,-2
III,itsMartini,moc,DIAMOND,75,141,16,78,11.3,55.3,-2
III,sakusa,mango,DIAMOND,75,148,17,84,11.5,56.8,-2
III,Damon,2228,DIAMOND,75,201,22,104,10.9,51.7,-2
III,Luminous,0018,DIAMOND,75,138,23,73,16.7,52.9,-2
III,BigTiddyGothUwU,NA1,DIAMOND,75,153,26,83,17.0,54.2,-2
III,rydeezy,6969,DIAMOND,75,125,16,77,12.8,61.6,-2
