rank,gameName,tagLine,tier,leaguePoints,plays,wins,tops,winRate,top4Rate
1904,h3ntaihav3n,NA1,DIAMOND,0,156,20,87,12.8,55.8
1905,CrimsonBadger,1905,DIAMOND,0,156,20,91,12.8,58.3
1906,BYongski79,NA1,DIAMOND,0,179,27,97,15.1,54.2
1907,炸豆腐,9999,DIAMOND,0,83,18,46,21.7,55.4
1908,eclaire,pip,DIAMOND,0,107,20,57,18.7,53.3
1909,TinyJeff18,NA1,DIAMOND,0,101,19,60,18.8,59.4
1910,ayc,1234,DIAMOND,0,100,16,56,16.0,56.0
1911,TriBownie,Refor,DIAMOND,0,137,16,76,11.7,55.5
1912,Slizzle,SLZ,DIAMOND,0,126,26,69,20.6,54.8
1913,myaaniflakes,NA1,DIAMOND,0,150,20,81,13.3,54.0
1914,TSphere,NA1,DIAMOND,0,135,19,74,14.1,54.8
1915,ConstantlyMaldin,NA1,DIAMOND,0,227,23,114,10.1,50.2
1916,Maxm19,NA1,DIAMOND,0,88,21,53,23.9,60.2
1917,iLoda NA,NA1,DIAMOND,0,205,27,106,13.2,51.7
1918,ChillGuy,10495,DIAMOND,0,60,17,39,28.3,65.0
1919,Robloxbaby43,Robux,DIAMOND,0,135,21,72,15.6,53.3
1920,Tundrashot,NA1,DIAMOND,0,62,13,41,21.0,66.1
1921,Crolex,NA1,DIAMOND,0,136,17,82,12.5,60.3
1922,TheTrebol,NA1,DIAMOND,0,185,18,107,9.7,57.8
1923,Pxt,123,DIAMOND,0,130,20,77,15.4,59.2
1924,Short,TFT,DIAMOND,0,127,22,68,17.3,53.5
1925,NattyFru,NA1,DIAMOND,0,114,26,60,22.8,52.6
1926,Coors Latte,NA1,DIAMOND,0,116,16,65,13.8,56.0
1927,klein,angel,DIAMOND,0,112,11,67,9.8,59.8
1928,vovo nuco,vozão,DIAMOND,0,136,19,72,14.0,52.9
1929,jameson,jaja,DIAMOND,0,91,20,51,22.0,56.0
1930,Aimey,NA1,DIAMOND,0,376,44,182,11.7,48.4
1931,aurawashere,NA1,DIAMOND,0,251,27,135,10.8,53.8
1932,wfjasdmpld,NA1,DIAMOND,0,129,30,70,23.3,54.3
1933,Jason,54321,DIAMOND,0,290,52,140,17.9,48.3
1934,iamthefunkybirb,birb,DIAMOND,0,119,8,71,6.7,59.7
1935,cananananananan,NA1,DIAMOND,0,146,20,72,13.7,49.3
1936,Scissors,6911,DIAMOND,0,56,16,38,28.6,67.9
1937,iub,iub,DIAMOND,0,149,29,81,19.5,54.4
1938,kale,DAWG,DIAMOND,0,158,17,93,10.8,58.9
1939,AgentAAA,NA1,DIAMOND,0,150,25,82,16.7,54.7
1940,Meer,kat,DIAMOND,0,204,42,107,20.6,52.5
1941,lllIllllllllIl,NA1,DIAMOND,0,149,18,83,12.1,55.7
1942,Melioz,5275,DIAMOND,0,93,22,54,23.7,58.1
1943,PatroOo,NA1,DIAMOND,0,192,42,106,21.9,55.2
1944,BrianUH,silly,DIAMOND,0,155,26,83,16.8,53.5
1945,topfrog,ribit,DIAMOND,0,88,22,47,25.0,53.4
1946,HardStuckStepbro,4243,DIAMOND,0,184,26,94,14.1,51.1
1947,ChrisWang0524,NA1,DIAMOND,0,113,24,71,21.2,62.8
1948,chowdowntaco,NA1,DIAMOND,0,127,18,72,14.2,56.7
1949,sea7,2279,DIAMOND,0,297,29,161,9.8,54.2
1950,franchester,7503,DIAMOND,0,164,23,90,14.0,54.9
1951,JPRaskimer,NA1,DIAMOND,0,114,18,64,15.8,56.1
1952,Nyees,9468,DIAMOND,0,235,28,126,11.9,53.6
1953,Dal3east,NA1,DIAMOND,0,112,20,64,17.9,57.1
1954,ASDZXCFSEQW,NA1,DIAMOND,0,74,19,43,25.7,58.1
1955,Deathsowrd,8026,DIAMOND,0,177,22,96,12.4,54.2
1956,优雅的男人,00429,DIAMOND,0,80,24,49,30.0,61.3
1957,DrV,011,DIAMOND,0,214,27,112,12.6,52.3
1958,iamnotreal,NA2,DIAMOND,0,122,18,70,14.8,57.4
1959,Biga,20605,DIAMOND,0,218,42,108,19.3,49.5
1960,TetsuKinjo,NA1,DIAMOND,0,269,33,136,12.3,50.6
1961,Asada Shino,Snipe,DIAMOND,0,382,73,190,19.1,49.7
1962,KidKutty5,4416,DIAMOND,0,223,18,120,8.1,53.8
1963,trặc câu tzi,2009,DIAMOND,0,148,24,88,16.2,59.5
1964,Cessereendya,7944,DIAMOND,0,230,43,125,18.7,54.3
1965,Fiercez,123,DIAMOND,0,181,30,97,16.6,53.6
1966,soarczm,001,DIAMOND,0,57,25,41,43.9,71.9
1967,cookie d cream,3D2Y,DIAMOND,99,95,21,57,22.1,60.0
1968,Geeko,Gecko,DIAMOND,98,199,30,100,15.1,50.3
1969,Soochy,SOOCH,DIAMOND,98,141,13,79,9.2,56.0
1970,Gunner62,NA1,DIAMOND,97,71,7,48,9.9,67.6
1971,Yellowflash,6356,DIAMOND,97,132,17,74,12.9,56.1
1972,C8 K3soju,NA1,DIAMOND,97,81,23,48,28.4,59.3
1973,Tisander,NA1,DIAMOND,97,108,15,61,13.9,56.5
1974,Laharl sama,DISG,DIAMOND,96,109,21,58,19.3,53.2
1975,WaSuu,5632,DIAMOND,96,147,36,73,24.5,49.7
1976,Dolma,333,DIAMOND,96,137,13,78,9.5,56.9
1977,Heref0rfun,25812,DIAMOND,96,76,16,45,21.1,59.2
1978,zooftw,NA1,DIAMOND,95,123,25,62,20.3,50.4
1979,WhispeR,WnR,DIAMOND,95,289,26,150,9.0,51.9
1980,Loomypete,NA1,DIAMOND,95,108,26,60,24.1,55.6
1981,Ðiónysos,NA1,DIAMOND,95,110,16,66,14.5,60.0
1982,SnapxD,2063,DIAMOND,95,83,15,48,18.1,57.8
1983,kevski,pop,DIAMOND,95,183,19,101,10.4,55.2
1984,ruele,eleur,DIAMOND,94,82,12,53,14.6,64.6
1985,Revenancer,BRC02,DIAMOND,94,125,10,69,8.0,55.2
1986,Fattyfool,NA1,DIAMOND,94,79,13,48,16.5,60.8
1987,Zultar,NA1,DIAMOND,94,168,22,85,13.1,50.6
1988,SaltyMeat,NA1,DIAMOND,93,157,21,91,13.4,58.0
1989,tunaiuVy,10304,DIAMOND,93,91,20,54,22.0,59.3
1990,tmbo,NA1,DIAMOND,93,154,25,89,16.2,57.8
1991,WarlordBobinator,WANG,DIAMOND,93,64,16,42,25.0,65.6
1992,mvstikk,rat,DIAMOND,93,79,12,48,15.2,60.8
1993,Merzio,4178,DIAMOND,93,222,24,120,10.8,54.1
1994,skim,0239,DIAMOND,93,344,54,181,15.7,52.6
1995,spoil it,NA1,DIAMOND,92,190,30,99,15.8,52.1
1996,stockfish360,NA1,DIAMOND,92,67,12,44,17.9,65.7
1997,Royalpiplup,NA1,DIAMOND,92,115,24,62,20.9,53.9
1998,MasterKongyiji,NA1,DIAMOND,92,119,20,71,16.8,59.7
1999,Tribuster,NA1,DIAMOND,92,130,17,72,13.1,55.4
2000,aurelianzzz,NA1,DIAMOND,92,108,19,64,17.6,59.3
